Tweet,Suicide,preprocess
i am worried i might lose it tomorrow i cant really tell anyone for fear of worrying them i will be one year and eleven months clean and sober tomorrow i am going to be off my methadone maintenance program in two weeks i am going to walk home from the court pack all my things and clean my apartment and say my goodbyes its just too much i am really hoping it doesnt come to that i hope so fucking much i dont want to kill myself i dont want to do that to anyone i am not strong enough to start over again my chest feels like its going to explode with anxiety i feel like i am going to break down crying in front of the judge tomorrow practically pleading for my life ,Potential Suicide post ,worried lose tomorrow fear worrying year eleven month clean sober tomorrow methadone maintenance program week walk home court pack thing clean apartment goodbye hoping not hope fucking not kill not not strong start chest feel explode anxiety feel break cry front judge tomorrow practically pleading life
Realizing that I will not get a surprise certified letter stating that I am the sole heir of a wealthy family's inhâ¦ https://t.co/5DzyWg70Tu,Not Suicide post,realizing not surprise certified letter stating sole heir wealthy family inh
@LFTA What about Blur - Song #2 ???,Not Suicide post,blur song
@Chels_V morning,Not Suicide post,morning
tired of waking up. tired of wanting to die. tired of everything.,Potential Suicide post ,tired waking tired wanting die tired
me: *sees a car crash* i wonder how they crashed,Potential Suicide post ,see car crash crashed
i just want to sleep so much has gone wrong in these 20 years and its still getting worse i can not change most of what is going on around me but it will invariably affect me i dont want to give it the chance so if i go and sleep and dont wake up i wont have to deal with it,Potential Suicide post ,sleep wrong year worse not change invariably affect not give chance sleep not wake not deal
"@seerysm i'm always cheerful when it's sunny at ATL, means I'll get the heck away on time",Not Suicide post,cheerful sunny atl mean heck time
Just booked @leawoodward and I in for 4D baby scan tomorrow - very exciting - can't wait to see our little girl,Not Suicide post,booked baby scan tomorrow exciting wait girl
Liter spent so much money tonight and literally one of the worst nights in a looo g time literally about to straighâ¦ https://t.co/XEgK1zt0Xs,Potential Suicide post ,liter spent money tonight literally worst night lo time literally straigh
RT @Beebri97: @Quueenn_M Girl I wanna look this good when I'm pregnant lol. Congratulations beautiful! I hope it's a girl so she can be like u,Not Suicide post,retweet girl good pregnant lol congratulation beautiful hope girl
"@TonyWade @iantalbot I'm a size 5, but I have to wear orthotics in my footwear if I'm attempting to walk so I can get away with a 6",Not Suicide post,size wear orthotics footwear attempting walk
now my heart wants to die too i ve been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life,Potential Suicide post ,heart die struggling depression trauma suicidal thought year honestly thing not painful here sitting alienated confused depressed miserable helpless honestly point hate life
@strekr Wasn't the Miami valley already frozen? It's WINTER!,Not Suicide post,not miami valley frozen winter
"@WyattEarpLA Iâm actually tired of this!!! Itâs like living in a home where the troubled, deceitful child always wiâ¦ https://t.co/qsFqOPfqJP",Potential Suicide post ,tired living home troubled deceitful child wi
RT @floweryhillside: I donât want them to come for my account. Literally the only thing keeping me through the miserable existence that isâ¦,Potential Suicide post ,retweet not account literally thing keeping miserable existence
@DodgerBlueOPJ He is good! He's down in Florida for MTS. He graduates in late April...He really happy about this,Not Suicide post,good florida mt graduate late april happy
"@ddlovato i've been at school since yesterday ! GOOD MORNING DEMI LOVATO , im a fan from canada !",Not Suicide post,school yesterday good morning demi lovato fan canada
We were approved for a cute townhome so much closer to work! I'm so excited!,Not Suicide post,approved cute townhome closer work excited
"RT @rosettalind55: @BrettCMajor1 I`m sick and tired of listening to @JustinTrudeau saying,""First and foremost ,we`re all here to work for Câ¦",Potential Suicide post ,retweet sick tired listening foremost here work
"This is correct. I, for one, absolutely do not want to live in a country with these fucking chuds. And I believe 25â¦ https://t.co/968xex7emJ",Potential Suicide post ,correct absolutely not live country fucking chuds
I wish I still had my Simpsons shower radio.,Not Suicide post,simpson shower radio
I love everyone else while I hate myself,Potential Suicide post ,love hate
Tired of living like this,Potential Suicide post ,tired living
@missy1994 dude i am SO jealous! goin to buy some on thurs,Not Suicide post,dude jealous goin buy thurs
@joemcintyre WELCOME TWEET&lt;3 LETS GET THIS!!!!!!!!!!!!,Not Suicide post,tweet
@Callmesynapse_ @Maddierawrk Thatâs not how it works and if you truly believe this then I feel sorry for you. We doâ¦ https://t.co/PIki5M0cHk,Potential Suicide post ,not work feel
"@spanx Happy Birthday, eat something good",Not Suicide post,happy birthday eat good
@seamushayes ...it will only get worse come winter. The Chai at the Goldfish Bowl is the best out!,Not Suicide post,worse winter chai goldfish bowl
RT @jenanmoussa: I love to see Palestinians dancing and having fun. Good &amp;positive stories deserve to go viral as well.,Not Suicide post,retweet love palestinian dancing fun good positive story deserve viral
https://t.co/6MPqRunPeX https://t.co/6MPqRunPeX,Potential Suicide post ,
"Ever feel like everyone's better off without you, because me fucking too. https://t.co/TcS3ZzrZoj",Potential Suicide post ,feel fucking
"@markdan_03 nope, ahm.. preps for props",Not Suicide post,nope ahm prep prop
@TairrieB recorded what?,Not Suicide post,recorded
@Glinner what about twittering your task @rtm,Not Suicide post,twittering task
--&gt; @katyperry in June (28) in Portugal!! I don't know... should I go? Or is just another catching song?!?,Not Suicide post,june portugal not catching song
i want to be a painter,Not Suicide post,painter
"My Cowley Road E.P. has been re-released on itunes! If you don't have it, get it!",Not Suicide post,cowley road released itunes not
HOW DID I JUST GIVE UP ON SLEEPING IM NOT EVEN TRYING ANYMORE I HATE MYSELF DAMN,Potential Suicide post ,give sleeping not anymore hate damn
@Fortitia how's it cooking? looking forward to having a taste later.,Not Suicide post,cooking forward taste
"200 words over with still more to write, lame. burritos for tea",Not Suicide post,word write lame burrito tea
phone againn,Not Suicide post,phone againn
"RT @mitchlafon: On This Day - November 12th 1976. Queen release single, Somebody to Love.",Potential Suicide post ,retweet day november queen release single love
Its fucking cold ð© i hate working at 4 Am tf did i sign up for ð­why did i do this to myself damn it,Potential Suicide post ,fucking cold hate working fuck sign damn
@LozzaBlack About time! You should always listen to your wise friend Kate. She's the coolest!,Not Suicide post,time listen wise friend kate coolest
"RT @NICKBOYNTON24: ""I donât want to die. But, you know, nothing is for certain. And Iâm tired of keeping quiet."" @PlayersTribune @CarBombBoâ¦",Potential Suicide post ,retweet not die tired keeping quiet
One month from today we'll be on that plane headin' for NY!!,Not Suicide post,month today plane headin ny
"@saraayk5,,RT @jaemverse: i just dont want to be here anymore",Potential Suicide post ,retweet not here anymore
"@peterwalker78 www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!! &amp; FOLLOW me , Cheers x",Not Suicide post,video comment suscribe follow cheer
- Iowa No. 2 in happy! Yea!,Not Suicide post,iowa happy yea
Damn really hate myself rn,Potential Suicide post ,damn hate
@TdMPhotography Oh sorry would have replied earlier BUT was flickin thru my wonderful new book of ideas,Not Suicide post,replied earlier flickin wonderful book idea
"RT @913Lucero: I wanna let it be known that if any of my homies ever, in your life feel like yâall alone or just tired of living. Iâm a texâ¦",Potential Suicide post ,retweet homies life feel tired living tex
@sarahstanley hey! doing well - looking forward to meeting up with you and @cultvines in DC!,Not Suicide post,hey forward meeting dc
"@qwerxcvjkl,,im done trying to be happy. it never helped and it never got approved by my parents. meaning i have to stop all of what makes me happy. and honestly, i dont want to try anymore. im just going to sit here and fail, and keep failing until one day, when death finally falls upon me.",Potential Suicide post ,happy helped approved parent meaning stop make happy honestly not anymore sit here fail failing day death finally fall
"@DuaneJackson tr.im are doing it with Nambu, bit.ly are doing it with Tweetdeck",Not Suicide post,tr nambu bit ly tweetdeck
Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post ,single mommy part plan wake everyday shit
has only been awake two hours but would like to go back to sleep,Not Suicide post,awake hour back sleep
@TomFelton its amazing! I saw it on Broadway with the original cast.,Not Suicide post,amazing broadway original cast
"@Peerug you been puffing on that dragon again, ey?",Not Suicide post,puffing dragon ey
"@schulman Yes, I am obviously the only one at the National Aviary who answers the phone.",Not Suicide post,national aviary answer phone
RT @BKSportsTalk: Glass half full/glass half empty: This #Mizzou team is legitimately pretty good. If you go by Sports Referenceâs âsimpleâ¦,Not Suicide post,retweet glass half full glass half empty team legitimately pretty good sport reference simple
"time to turn off and go to sleep i think, its been a big day! Goodnight all",Not Suicide post,time turn sleep big day goodnight
"@katpaps Well, I must say, your comments have even got me thinking his hair looks rather sexy, so I doubt she has much chance to resist",Not Suicide post,comment thinking hair sexy doubt chance resist
RT @BarcaTimes: ð­ | Bartomeu: âToday he celebrates two further honours in a legendary career: A 5th Pichichi goalscorer award and the Di Stâ¦,Not Suicide post,retweet bartomeu today celebrates honour legendary career pichichi goalscorer award di st
"@iwrotethis: Nope, you just caught me, cheers, I'm sure I will. Hope the sunshine holds out for you",Not Suicide post,nope caught cheer hope sunshine hold
@Shmerkle I went with CSI as my episode 3 of Dollhouse needed redownloading! Once that's done I can watch that then the rest,Not Suicide post,csi episode dollhouse needed redownloading watch rest
just had lovely cuddle with Tali Virgo,Not Suicide post,lovely cuddle talus virgo
is home from the gym and is going to sit on her butt all day,Not Suicide post,home gym sit butt day
...going for a four-mile night run....around the old B-52 bomber on Andersen. gotta tape my ankles!,Not Suicide post,mile night run bomber andersen tape ankle
Everything is temporary. EVIL EYES OFF SHIVRIT,Not Suicide post,temporary evil eye shivrit
"@petesanderson A little of what you fancy does you good, I am told",Not Suicide post,fancy good told
after sickness back to work,Not Suicide post,sickness back work
I woke up feeling great.,Not Suicide post,woke feeling great
he is not tired of everything.,Not Suicide post,not tired
@mousehunt hi,Not Suicide post,
"@cherryspoon Don't get upset by it, not worth it Besides if they do that with enough people, their accounts will not be so popular ;-)",Not Suicide post,not upset not worth people account not popular
@carriee93 we just got a picture with my boyfriend. thats what that is,Not Suicide post,picture boyfriend
@Lady_Twitster Ah it's not the same since the old days when he of the orange-face was still around.,Not Suicide post,ah not day orange face
@k1tten lol supp it aint fucked,Not Suicide post,laughing loud supp not fucked
RT @CoreyBBrooks: Living in the Hood can be really tough. I am tired of losing people to the violence. I will not give up! https://t.co/zjYâ¦,Potential Suicide post ,retweet living hood tough tired losing people violence not give
I want to kill myself I really want to fucking kill myself im done,Potential Suicide post ,kill fucking kill
"""Oh somebody kill me please!",Potential Suicide post ,kill
"@PickNicole Yes, indeed. With copious amounts of whipped cream",Not Suicide post,copious amount whipped cream
i am empty i ve been focusing on school and work but every day i feel worse and worse last night i got blackout drunk didnt help made me feel even worse i know that my loneliness comes mostly from my conscious decisions cant live with people cant live without them the only reason i havent killed myself yet is that i fear the pain ,Potential Suicide post ,empty focusing school work day feel worse worse night blackout drunk not made feel worse loneliness conscious decision live people live reason not killed fear pain
@Raiha Glad to hear you're making the switch. You will not be disappointed,Not Suicide post,glad hear making switch not disappointed
i wanna fucking kill myself,Potential Suicide post ,fucking kill
"Please retweet my Weed G. Board!!! The coolest adult cartoon.  I'm tired of living the worst times of my life, pleaâ¦ https://t.co/jxWJLxgT9x",Potential Suicide post ,retweet weed board coolest adult cartoon tired living worst time life plea
Off to the bakery to buy yummy stuff,Not Suicide post,bakery buy yummy stuff
is cleaning up. will start anew.,Not Suicide post,cleaning start anew
The rewards will be credited to your Huobi account in 3 working days.,Not Suicide post,reward credited huobi account working day
@MarthaStewart proof?,Not Suicide post,proof
@BrisbaneGirl 'hen' style may or may not involve making promises OTHER people need to deliver ... no such concerns here,Not Suicide post,hen style not involve making promise people deliver concern here
"@o_crunk Keep it up, you do good work!",Not Suicide post,good work
@SashaMcfly niiiceee,Not Suicide post,nice
"today i almost kill myself because I almost hit by a car, thank lord.",Not Suicide post,today kill hit car lord
"@shishirjha07,,@TVMohandasPai @PMOIndia @narendramodi Sir please tell does it suit to respected PM to tell âGive me 50 days and if things donât improve burn me aliveâ. If yes, then anyone can say that come we shall burn u. If not, I didnât see anyone dis-associating with this line.",Potential Suicide post ,sir suit respected prime minister give day thing not improve burn alive burn not not dis associating line
Extremely tired of everything. I just want to die.,Potential Suicide post ,extremely tired die
RT @Conteia_: Iâm a fucking lunatic when I get angry itâs so terrible I need to work on this so bad before I end up doing something that fuâ¦,Potential Suicide post ,retweet fucking lunatic angry terrible work bad end fu
@thefutureheads : CONGRATULATIONS DAVE!! Enjoy the little 'un! xxx,Not Suicide post,congratulation dave enjoy
@ddlovato good morning,Not Suicide post,good morning
@tommcfly yummy starbucks!,Not Suicide post,yummy starbucks
Death scares tf out of me and i am not ready to die,Potential Suicide post ,death scare fuck not ready die
I hate being by myself. Bc everything a damn music video,Potential Suicide post ,hate damn music video
@tommcfly i went to starbucks earlier,Not Suicide post,starbucks earlier
Gene has been acting a bit odd lately. When I told him about Leper wanting to jump out of the tree to join The Supeâ¦ https://t.co/jqjOwpBQ1X,Potential Suicide post ,gene acting bit odd told leper wanting jump tree join supe
I was drinking and crying my night away as usual to find out my ex is fucking a girl in his bed so I tried to killâ¦ https://t.co/8YFPGq7C6k,Potential Suicide post ,drinking cry night usual find fucking girl bed kill
@BeatlesTweets WOW awesome pics!!,Not Suicide post,wow awesome pic
death cant be much worse i am 22 male my girlfriend left i have been staying late in the office for too long because i cant cope with the workload friends are non existent hate my family and they hate me i just want to die i dont see any other option at this point,Potential Suicide post ,death worse male girlfriend left staying late office long cope workload friend existent hate family hate die not option point
RT @TreyDiamonds: Hate the fact that Iâm damn near forced to figure everything out by myself but it must be done,Potential Suicide post ,retweet hate fact damn forced figure
Good morning...good morning..good moooooorning,Not Suicide post,good morning good morning good morning
"@CHRISDJMOYLES im gonna watch T.M. 2 c wot they hav 2 say bout TWITTER, yor show was brilliant as ever this mornin - katie x",Not Suicide post,watch twitter yor show brilliant mornin katie
Here's my latest tune - http://soundcloud.com/jay-f/jay-f-untitled-as-of-now Leave a comment please,Not Suicide post,here latest tune leave comment
@fitnessbox Watch this space. Not sure how viable it is yet. Possibly though,Not Suicide post,watch space not viable possibly
"@AbigailBrooke29,With Jake :),RT @yxrx_x: I desperately and whole heartedly dont want to be here anymore.",Potential Suicide post ,jake retweet desperately heartedly not here anymore
"@ninaneverknew: Me too. I want to have an overnight drinking session with friends, and I mean all of 'em! Haha.",Not Suicide post,overnight drinking session friend haha
a blunt and honest girl who just wants to take care of her family and a passionate boy perusing his dreams of beingâ¦ https://t.co/WF7QzChBHB,Not Suicide post,blunt honest girl care family passionate boy perusing dream
didn t kill myself yet i guess that is something to be proud of i had a gun but my roommate found it planning on finding a lonely bridge to end it i really want a reason to live but i just can t find one,Potential Suicide post ,not kill guess proud gun roommate found planning finding lonely bridge end reason live find
"@sotodance photoboth is black&amp;white. and wayyy old. we call him Herbert lol. I love him, he's like a living legend. gotta love Berlin &lt;3",Not Suicide post,photoboth black white call herbert lol love living legend love berlin
@pixiepan lol. www.tv.com is your FRIEND!,Not Suicide post,lol friend
@geo7 it wont be miserable for at least 2 weeks tho,Not Suicide post,not miserable week
tom chaplin marry me please. i melt for you hahaha.. o and pearshapebodygirl stopped talking to me! YES!,Not Suicide post,tom chaplin marry melt hahaha pearshapebodygirl stopped talking
I'm attempting to make Hot Cross Buns with Bella &amp; Ari,Not Suicide post,attempting make hot cross bun bella ari
this summarize what happened at boc chrismas special when all of them are in a chaos we still have mile phakphum romsaithong who is very calm in everything,Not Suicide post,summarize happened boc chrismas special chaos mile phakphum romsaithong calm
"@eliseland :O he just replied to someone... Dougie replied to quite a few people this afternoon so you never know... besides, it's fun!",Not Suicide post,replied dougie replied people afternoon fun
i am 16 and hate myself so much i have very little friends an introvert never had a girlfriend been bullied a lot and rejected a lot please help me i want to kill myself it would make all this go away i dont deserve to be on this earth since i write notes on paper of how worthless and stupid i am i want to become someone in the it field but i am too stupid to get in there anyways and jobs nowadays need social people and i am not one of them ive never had a girlfriend before and i want to have one because being a virgin is a bad thing and i could never live with that feeling if i dont have any friends or a girlfriend wheni am an adult i plan on committing suicide can you please help me thanks for reading,Potential Suicide post ,hate friend introvert girlfriend bullied lot rejected lot kill make not deserve earth write note paper worthless stupid field stupid job nowadays social people not girlfriend virgin bad thing live feeling not friend girlfriend wheni adult plan committing suicide reading
"@Logman765,Lincoln, NE,RT @LoliThicc: Im sorry if i really want my life to end im sorry i drank for week straight i am sorry but its hard to say its gonna be fineâ¦",Potential Suicide post ,lincoln ne retweet life end drank week straight hard fine
bruh i HATE myself a hot guy that iâll NEVER SEE AGAIN says ONE THING to me and iâm like damn that would be cute toâ¦ https://t.co/GbaysqYRwU,Potential Suicide post ,bruh hate hot guy ill thing damn cute
It makes me hate myself and i didn't do a damn thing,Potential Suicide post ,make hate not damn thing
y do i overthink everything in my life and then make myself believe these things. i just end up disappointed or stressed ugh,Potential Suicide post ,overthink life make thing end disappointed stressed ugh
@joyciebo hi cutie welcome to the twitternation,Not Suicide post,cutie twitternation
Is chilling wit my boy,Not Suicide post,chilling boy
i dont have long left this past month has been the worst 3 weeks ago i went on date with a guy and went to his place afterwards and he tried to force me to go farther than i wanted to go ive been afraid to even hang out with a guy since the next day i was fired from my job i spent the whole rest of that week alone filling out job app which didnt help with my depression the next week i started having some issues went to get tested and found i had gotten gonorrhea from the guy that tried to force me i went to dinner at a friends house and my car ended up getting towed so i owe my mom 150 for that i almost attempted suicide that day last week and i started work last week but will only be getting a partial paycheck because of when i started and i amcurrently 75 for my bank account and behind on my bills so i dont know how much this check is gonna help i just dont have any fight left in me anymore,Potential Suicide post ,not long left past month worst week ago date guy place force farther wanted afraid hang guy day fired job spent rest week filling job application not depression week started issue tested found gonorrhea guy force dinner friend house car ended towed owe mom attempted suicide day week started work week partial paycheck started amcurrently bank account bill not check not fight left anymore
@ROBsessedBlog http://i42.tinypic.com/drbadi.jpg Mine.,Not Suicide post,mine
Tomorrow is going to be GREAT! - Altho if I get eaten by a dinosaur Im blaming Sophie.,Not Suicide post,tomorrow great eaten dinosaur blaming sophie
I'm sick and tired of people putting so much energy into shitting on ships but they won't do the same to help a livâ¦ https://t.co/hyFuB3D04a,Potential Suicide post ,sick tired people putting energy shitting ship not liv
loving the credit crunch,Not Suicide post,loving credit crunch
@realDonaldTrump It already is! At least in France one doesn't die/loss everything when get sick &amp; have at least 1â¦ https://t.co/QYN3ku1Q8T,Potential Suicide post ,france not die loss sick
"@cakeandcommerce it was one of Hugh's at Eastern Standard, but it's definitely one I'll be planning on making myself in the future",Not Suicide post,hugh eastern standard planning making future
@mizphenomenal god wrote that i just typed it,Not Suicide post,god wrote typed
the only reason i havent killed myself is because i am terrified of it just being worse or being stuck as a ghost or some crap like that however much i want to live and i really do i simply cannot stand the pain of the reality i am in or the way people treat me,Potential Suicide post ,reason not killed terrified worse stuck ghost crap live simply stand pain reality people treat
@royaltybites : SLUMDOG MILLIONAIRE! OMG. Or the new one by James Patterson,Not Suicide post,slumdog millionaire omg james patterson
hey guys at home watching telly,Not Suicide post,hey guy home watching telly
should not be crushing on a boy (with a nice smile) just 'cos he asked for my number... hmm...,Not Suicide post,not crushing boy nice smile co asked number hmm
"@JonathanRKnight Aww that's really sweet of you, I hope you will come back to the UK, would be great to see you again xxx",Not Suicide post,aww sweet hope back uk great
"@limyh Eh...where got face off la...we are all kawans here. Right or not, @staronline?",Not Suicide post,eh face la kawans here not
Became as hot as the persistent days resting heavily on tired flowers,Potential Suicide post ,hot persistent day resting heavily tired flower
"@Tashuurrx,,RT @jaemverse: i just dont want to be here anymore",Potential Suicide post ,retweet not here anymore
So I blew hella money at Joannâs ð damn it. I hate that I do this to myself but I love to make shit,Potential Suicide post ,blew hella money joanns damn hate love make shit
the damn 3D movie glasses... I hate myself,Potential Suicide post ,damn movie glass hate
preparing for death letting things go i just have one last thing to let go of not trying to get people to panic and attempt to save me as if they could just feels good to be real somewhere to share whats going on to wonder if it will make someone else feel less alone perhaps just me ,Potential Suicide post ,preparing death letting thing thing not people panic attempt save feel good real share make feel
my 13 year old daughter overdosed on about 6 grams of wellbutrin and 1500mg of zoloft i am trying so hard to make this right she was airlifted to children s hospital and now she s laying in her hospital bed unresponsive and her muscles are jerking this has been the scariest day of my life that child is my entire world she s all i have i have out my heart and soul into raising her i never want to lose this little girl but here i am she s about to be 14 she s a little on the eccentric side but she has a heart of gold she s never met a stranger but ever since 8th grade has started she has been getting bullied and the teachers don t really do anything about it this was her way of coping i went to wake her for school this morning and found her covered in vomit and she had been hallucinating and having seizures for hours probably what if i hadn t found her why does she feel like this is the only way i want to make all the bad go away how do i do this how do i help her cope i didn t know who to turn to,Potential Suicide post ,year daughter overdosed gram wellbutrin mg zoloft hard make airlifted child hospital laying hospital bed unresponsive muscle jerking scariest day life child entire world heart soul raising lose girl here eccentric side heart gold met stranger grade started bullied teacher don coping wake school morning found covered vomit hallucinating seizure hour hadn found feel make bad cope not turn
"My band director just said &quot;As King Julian would say, don't play like pansies!&quot; LOL",Not Suicide post,band director king julian not play pansy laughing loud
iâve been ugly all my life ugh this is not fair i wanna be cute for at least one era of my miserable life.,Potential Suicide post ,ugly life ugh not fair cute era miserable life
I am so tired of everything. Please just let me die,Potential Suicide post ,tired die
"@AmandaFPatton haha, well it's never a permanent state for me (offline)",Not Suicide post,haha permanent state offline
@DanceofLife just twigged you mean your financial presentation? Yes I'll have a look at home and mail to you today,Not Suicide post,twigged financial presentation home mail today
I need a job that revolves around promoting  mental health but I think itâs so grimy to make money off of that ð¤·ââï¸â¦ https://t.co/h9QSTVZxxf,Potential Suicide post ,job revolves promoting mental health grimy make money
these thoughts about killing myself her getting louder,Potential Suicide post ,thought killing louder
I don't know what to do. I'm trying so hard to make a life work. To live life. My husband literally refuses to takeâ¦ https://t.co/3m3ULoIJ1b,Potential Suicide post ,not hard make life work live life husband literally refuse
"@_zannahthatsme,Kota Kinabalu & Johor Bahru,RT @Tendrx: honestly, the pain, i dont want to be here anymore.",Potential Suicide post ,kota kinabalu johor bahru retweet honestly pain not here anymore
RT @breathiingo: i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the same peopâ¦,Potential Suicide post ,retweet die not deserve piece not belong sick tired peop
@AnitaHarrell19 @PeterParros I agree with everything except Benny. I'm tired of him. His character is boring and needs to die. IJS ð,Potential Suicide post ,agree benny tired character boring die ijs
@timelkington dont do it Tim - he will be in your dreams at nite but only if u spend over Ã¯Â¿Â½300 and use the 15% discount he sent last week,Not Suicide post,not tim dream nite spend discount week
@VrouwHolle aww I am proud to be your first reply and that I have taken over your updates haha,Not Suicide post,aww proud reply update haha
is loving the sun but is upset she cant make the picnic thurs,Not Suicide post,loving sun upset make picnic thurs
Happy birthday @paul_lander!,Not Suicide post,happy birthday
please somebody come fucking kill me im so in LOVE!!!!! https://t.co/e13ilxL9XJ,Potential Suicide post ,fucking kill love
I'm tired of living in a world,Potential Suicide post ,tired living world
"RT @shelbypie24: I saw a quote on Pinterest that said, âWhen I stand before God at the end of my life, I hope that I donât have a single biâ¦",Potential Suicide post ,retweet quote pinterest stand god end life hope not single bi
@balsamicth I couldn't hit you up? I hate it when this happens. I hate myself when i do it. Yet i do it constantly.â¦ https://t.co/WZwSi1OKCm,Potential Suicide post ,not hit hate hate constantly
http://twitpic.com/2ydri - Im so loving my great workspace,Not Suicide post,loving great workspace
@Jeicky_the_cat @skwi69 Thanks,Not Suicide post,
@ddlovato here are 15:55 GOOD MORNING!,Not Suicide post,here good morning
i m not safe with myself i have been suicidal for a while now i have made 4 attempts this year and yet nobody seems to get it i honestly cant say if i am going to kill myself today i keep breaking down crying and i dont know why i hate myself ,Potential Suicide post ,not safe suicidal made attempt year honestly kill today breaking cry not hate
"Iâm so much happier &amp; better off without you weak , fake lames ð leave me alone , I donât need you anyway #bigslime ð ",Potential Suicide post ,happier weak fake lame leave not
@JennW Thank you!,Not Suicide post,
"@adoredesalon WHAT? You so need to put that on the site. You know, cause us bloggers LOVE free wifi!! Awesome.",Not Suicide post,put site blogger love free wifi awesome
"@NanaRaine i imagine it would be, not exactly close",Not Suicide post,imagine not close
@bobbyllew That could have been embarrassing! At least you remembered this time today and not this time tomorrow! Small mercies!,Not Suicide post,embarrassing remembered time today not time tomorrow small mercy
RT @LSUBonnette: Had a feeling it was going to be a great day got to meet John Stockton before the game,Not Suicide post,retweet feeling great day meet john stockton game
@Shesouldeep yup me too,Not Suicide post,yup
@kissability I'm actually listening to Chopin in the dark right now,Not Suicide post,listening chopin dark
"Whenever I have dreams of my mom lately, itâs as if sheâs still alive and that she never went away ð³ but then againâ¦ https://t.co/fgV1SvUvkO",Potential Suicide post ,dream mom alive
RT @AprilMaeJackson: R.I.P @xxxtentacion I didnât know much about you but you helped out in hard times you didnât deserve to die at such aâ¦,Potential Suicide post ,retweet not helped hard time not deserve die
i hate feelings at this point i think i am clinging onto life waiting for the right set of circumstances to just let go my feelings keep holding me back i hate them i hate having to feel i hate each and every one of them theres something comforting about the idea of nonexistence something comforting about the idea of nothing i long for it,Potential Suicide post ,hate feeling point clinging life waiting set circumstance feeling holding back hate hate feel hate comforting idea nonexistence comforting idea long
sorry people who arent toxic and wanted be friends.,Potential Suicide post ,people not toxic wanted friend
"@Sassy1inVegas NP? Lol. hhmm will Danny and Jordan join in? Danny maybe Jordan, me hopes not.",Not Suicide post,np lol hhmm danny jordan join danny jordan hope not
codeine ativan sleep meds alcohol tell me why i shouldnt i am hopeless i m ready to give up,Potential Suicide post ,codeine ativan sleep med alcohol not hopeless ready give
i am going to kill myself this weekend i dont see any reason to stay alive nothing has changed enough to make me want to stay i was raped as a kid and now all i am to people is a sex object good bye everyone ,Potential Suicide post ,kill weekend not reason stay alive changed make stay raped kid people sex object good bye
got a crush,Not Suicide post,crush
"RT @rcromwell4: If people don't want you dead, can you even claim to really be alive?",Potential Suicide post ,retweet people not dead claim alive
i want to be a businessman in futer,Not Suicide post,businessman futer
"mafumafu: ""OH SH IT oH G OD"" *scrambles to get everything he didn't pack*â¦",Potential Suicide post ,mafumafu sh od scramble not pack
"@pjgariel Yeah, still chilly here too but s'posed to return to normal temps this week. Gonna spend some time with the girls this week!",Not Suicide post,yeah chilly here posed return normal temp week spend time girl week
Tuesday in the great metropolis of Hanover... what could be better,Not Suicide post,tuesday great metropolis hanover
Long. Live. Life,Not Suicide post,long live life
RT @HelmanDC: I know you think you're sad that the Cowboys don't play today. But any day your team can't lose is an occasion worth celebrate,Not Suicide post,retweet sad cowboy not play today day team lose occasion worth celebrate
@annaarco I gained weight I'm one of those people everybody hates who can loose weight on a cake-and-cookies diet.,Not Suicide post,gained weight people hate loose weight cake cooky diet
@earsn my baby is tired now.,Not Suicide post,baby tired
@aussie_ali @heidiheartshugs toothpaste??? If you use the whitening stuff the bleach will burn a layer of skin off.,Not Suicide post,toothpaste whitening stuff bleach burn layer skin
"@aylush firstly, thank you secondly, is the kite runner historically off?",Not Suicide post,firstly kite runner historically
THIS SUCKS MAN I REALLY DON'T KNOW WHAT I AM ABOUT TO DO ANYMORE RASH DECISIONS AFTER RASH DECISION. NO CONTROL OVEâ¦ https://t.co/sqvNu2Rxs6,Potential Suicide post ,suck man not anymore rash decision rash decision control ove
i am just a mess i ran out of meds and i havent had the strength or energy to go refill them i went to class today and ended up sitting on a sidewalk ugly crying and making people think i am a fucking headcase all i do is sleep and i never feel rested i m alone in a new town and i have no friends and all i want is someone to sit with me and talk a while i am hanging in there because i brought my cats here to this strange place and i cant just leave them to think theyve been abandoned i just took a three hour nap and all i got was a headache and still tired i have no clean laundry my room is a clusterfuck i havent combed my hair in days or eaten and instead of doing things that need donei amlying here trying to avoid intrusive self harm thoughtsi amlazy and awful and i cant get myself to stop it,Potential Suicide post ,mess ran med not strength energy refill class today ended sitting sidewalk ugly cry making people fucking headcase sleep feel rested town friend sit talk hanging brought cat here strange place leave abandoned hour nap headache tired clean laundry room clusterfuck not combed hair day eaten thing donei amlying here avoid intrusive harm thoughtsi amlazy awful stop
"Coming home stoked bears this afternoon with mikeyj, Alton towers tomorrow.",Not Suicide post,coming home stoked bear afternoon mikeyj alton tower tomorrow
I streamed two episodes of Riverdale and I hate myself so damn much because now I have no data ð­ð­ð­,Potential Suicide post ,streamed episode riverdale hate damn data
